date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:51	1184/1184	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Apr%202021%2015:59:31%20GMT	https://cdn1.synapsecdn.to/fzop82315t.html	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/fzop82315t.html	(from )
12:18:52	33/33	---M--	200	added ('OK')	text/plain	etag:%22604a78b9-21%22	https://cdn1.synapsecdn.to/robots.txt		(from )
12:18:52	1613/1613	---MCZ	200	added ('OK')	text/css	etag:W/%22604bb338-64d%22	https://cdn1.synapsecdn.to/assets/css/success.min.css	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/success.min.css	(from https://cdn1.synapsecdn.to/fzop82315t.html)
12:18:52	58578/58578	---MCZ	200	added ('OK')	text/css	etag:W/%225e78d9b8-e4d2%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css	(from https://cdn1.synapsecdn.to/fzop82315t.html)
12:18:53	357968/357968	---M--	200	added ('OK')	application/zip	etag:%2260898631-57650%22	https://cdn1.synapsecdn.to/rel/4-28-21.zip	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/rel/4-28-21.zip	(from https://cdn1.synapsecdn.to/fzop82315t.html)
12:18:53	573172/573172	---MCZ	200	added ('OK')	application/javascript	etag:W/%22601fea19-8bef6%22	https://cdn1.synapsecdn.to/assets/js/sodium.js	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/js/sodium.js	(from https://cdn1.synapsecdn.to/fzop82315t.html)
12:18:53	8694/8694	---M--	200	added ('OK')	image/png	etag:%225eab2f12-21f6%22	https://cdn1.synapsecdn.to/assets/img/bggrad.png	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/img/bggrad.png	(from https://cdn1.synapsecdn.to/assets/css/success.min.css)
12:18:53	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e78d9ba-207aa%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.eot	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.eot	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:54	76612/76612	---M--	200	added ('OK')	font/woff2	etag:%225e78d9ba-12b44%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.woff2	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.woff2	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:54	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e78d9ba-207aa%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.eot?	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:54	89824/89824	---M--	200	added ('OK')	font/woff	etag:%225e78d9ba-15ee0%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.woff	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.woff	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:54	132728/132728	---M--	200	added ('OK')	application/octet-stream	etag:%225e78d9ba-20678%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.ttf	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.ttf	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:54	715890/715890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e78d9ba-aec72%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.svg	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-brands-400.svg	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:55	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e78d9ba-8656%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.eot	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.eot	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:55	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e78d9ba-8656%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.eot?	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:55	13584/13584	---M--	200	added ('OK')	font/woff2	etag:%225e78d9ba-3510%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.woff2	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.woff2	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:55	16800/16800	---M--	200	added ('OK')	font/woff	etag:%225e78d9ba-41a0%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.woff	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.woff	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:55	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%225e78d9ba-852c%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.ttf	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.ttf	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:56	144322/144322	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e78d9ba-233c2%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.svg	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-regular-400.svg	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:56	202902/202902	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e78d9ba-31896%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-solid-900.eot	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-solid-900.eot	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
12:18:56	202902/202902	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e78d9ba-31896%22	https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-solid-900.eot?	C:/Benim%20Web%20Sitem/exonia/cdn1.synapsecdn.to/assets/css/vendor/fontawesome/webfonts/fa-solid-900d41d.eot	(from https://cdn1.synapsecdn.to/assets/css/vendor/fontawesome/css/all.min.css)
